package	num	num_dang	perm_normal	perm_dang
ru.mos.polls	11	5	android.permission.WAKE_LOCK,android.permission.INTERNET,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.c2dm.permission.RECEIVE	android.permission.CAMERA,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE
com.blackspoongames.hunting	3	1	android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE	android.permission.WRITE_EXTERNAL_STORAGE
com.fssp.app	26	0	android.permission.ACCESS_NETWORK_STATE,me.everything.badger.permission.BADGE_COUNT_WRITE,com.sec.android.provider.badge.permission.READ,android.permission.READ_APP_BADGE,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.USE_FULL_SCREEN_INTENT,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.anddoes.launcher.permission.UPDATE_COUNT,com.google.android.gms.permission.AD_ID,android.permission.RECEIVE_BOOT_COMPLETED,com.htc.launcher.permission.UPDATE_SHORTCUT,com.oppo.launcher.permission.READ_SETTINGS,com.htc.launcher.permission.READ_SETTINGS,android.permission.INTERNET,com.huawei.android.launcher.permission.READ_SETTINGS,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,android.permission.SCHEDULE_EXACT_ALARM,com.sonyericsson.home.permission.BROADCAST_BADGE,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.WAKE_LOCK,me.everything.badger.permission.BADGE_COUNT_READ,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,com.oppo.launcher.permission.WRITE_SETTINGS,com.google.android.c2dm.permission.RECEIVE,com.sec.android.provider.badge.permission.WRITE	
ru.tstst.mysubsidie	13	5	android.permission.INTERNET,com.google.android.c2dm.permission.RECEIVE,android.permission.USE_BIOMETRIC,android.permission.FOREGROUND_SERVICE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.USE_FINGERPRINT	android.permission.READ_PHONE_STATE,android.permission.WRITE_CALENDAR,android.permission.READ_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.WRITE_EXTERNAL_STORAGE
ru.shtrafy_gibdd.nalogi	34	2	com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.sec.android.provider.badge.permission.READ,android.permission.ACCESS_WIFI_STATE,android.permission.VIBRATE,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.CHANGE_WIFI_STATE,me.everything.badger.permission.BADGE_COUNT_WRITE,com.htc.launcher.permission.UPDATE_SHORTCUT,org.policefines.finesNotCommercial.debug.provider.taxes.READ_DATABASE,android.permission.WAKE_LOCK,com.sec.android.provider.badge.permission.WRITE,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.READ_APP_BADGE,com.majeur.launcher.permission.UPDATE_BADGE,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.INTERNET,com.sonyericsson.home.permission.BROADCAST_BADGE,org.policefines.fines.debug.provider.taxes.READ_DATABASE,com.htc.launcher.permission.READ_SETTINGS,android.permission.FOREGROUND_SERVICE,com.oppo.launcher.permission.READ_SETTINGS,com.google.android.c2dm.permission.RECEIVE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,org.policefines.finesNotCommercial.provider.taxes.READ_DATABASE,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.ACCESS_NETWORK_STATE,ru.shtrafy_gibdd.nalogi.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,org.policefines.fines.provider.taxes.READ_DATABASE,com.google.android.gms.permission.AD_ID,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.RECEIVE_BOOT_COMPLETED	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA
ru.mos.ed	17	4	android.permission.DISABLE_KEYGUARD,android.permission.VIBRATE,com.google.android.gms.permission.AD_ID,android.permission.USE_FULL_SCREEN_INTENT,com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.INTERNET,android.permission.MODIFY_AUDIO_SETTINGS	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE,android.permission.RECORD_AUDIO,android.permission.CAMERA
com.minsvyaz.gosuslugi.stopcorona	12	1	android.permission.FOREGROUND_SERVICE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.USE_FINGERPRINT,android.permission.FLASHLIGHT,com.google.android.c2dm.permission.RECEIVE,android.permission.USE_BIOMETRIC,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_NETWORK_STATE	android.permission.CAMERA
ru.gibdd_pay.app	10	0	ru.gibdd_pay.app.permission.PUSH_PROVIDER,android.permission.ACCESS_NETWORK_STATE,ru.gibdd_pay.app.permission.PROCESS_PUSH_MSG,android.permission.INTERNET,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.c2dm.permission.RECEIVE,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.FOREGROUND_SERVICE,android.permission.WAKE_LOCK	
ru.altarix.mos.reception	14	5	android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permissioms.WRITE_DATABASE,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,android.permissions.READ_DATABASE,android.permission.WAKE_LOCK,com.google.android.apps.photos.permission.GOOGLE_PHOTOS	android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.READ_EXTERNAL_STORAGE
ru.integrics.mobiled	8	4	android.permission.USE_CREDENTIALS,android.permission.INTERNET,android.permission.WAKE_LOCK,android.permission.ACCESS_NETWORK_STATE	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE
