package	num	trackers
com.herocraft.game.tempest.lite	21	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Fyber,Inmobi,Unity3d Ads,Yandex Ad,Amplitude,AppMetrica,Vungle,myTracker,Tapjoy,Google AdMob,IAB Open Measurement,Pangle
com.herocraft.game.drag.auto.street.racing.heat	18	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Inmobi,Unity3d Ads,Vungle,myTracker,Tapjoy,Mintegral,Google AdMob,IAB Open Measurement,Pangle
com.herocraft.game.cut.arcade.catchthecandy	28	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Smaato,AdColony,Amazon Advertisement,Fyber,Inmobi,Unity3d Ads,Yandex Ad,AppMetrica,AppMonet,Vungle,myTracker,PubNative,myTarget,Tapjoy,Mintegral,Tenjin,Google AdMob,Verizon Ads,IAB Open Measurement,Mail.ru,Pangle
com.hunterhamster.snailbob	24	Google Analytics,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Fyber,Google Tag Manager,Inmobi,Unity3d Ads,Yandex Ad,Amplitude,AppMetrica,Vungle,Tapjoy,Mintegral,GameAnalytics,Tenjin,Google AdMob,IAB Open Measurement,Pangle
com.okg.theheavens	19	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Amazon Advertisement,Fyber,Unity3d Ads,Amplitude,ironSource,Vungle,myTracker,myTarget,Google AdMob,IAB Open Measurement,Mail.ru,Pangle
com.herocraft.game.free.redball3	21	Flurry,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Inmobi,Unity3d Ads,Yandex Ad,Amplitude,AppMetrica,Vungle,Tapjoy,Mintegral,Tenjin,Google AdMob,IAB Open Measurement,VKontakte SDK
com.espritgames.rpg.nine.songs	9	AppsFlyer,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,Amplitude,Bugly,Huawei Mobile Services (HMS) Core,VKontakte SDK
su.sovietgames.everlasting_summer	0	
com.gamemisctop.busSimulator3D	2	Unity3d Ads,Google AdMob
com.nekki.shadowfightarena_xsolla	23	AppsFlyer,Google CrashLytics,Google Firebase Analytics,ChartBoost,HelpShift,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Fyber,Unity3d Ads,ironSource,Vungle,myTracker,myTarget,Tapjoy,Bugsnag,Google AdMob,IAB Open Measurement,Pangle
com.interactive.novella	17	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Amazon Advertisement,Unity3d Ads,ironSource,Vungle,myTracker,myTarget,Google AdMob,IAB Open Measurement,Pangle
com.dmobin.red.ball	27	Google CrashLytics,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Fyber,Inmobi,Unity3d Ads,Yandex Ad,Amplitude,AppMetrica,Vungle,myTracker,PubNative,myTarget,Tapjoy,Mintegral,Tenjin,Google AdMob,Verizon Ads,IAB Open Measurement,Mail.ru,Pangle
