package	num	trackers
com.avito.android	9	Google CrashLytics,Google Firebase Analytics,Adjust,Yandex Ad,AppMetrica,myTracker,myTarget,IAB Open Measurement,VKontakte SDK
com.uma.musicvk	4	AppsFlyer,myTracker,myTarget,VKontakte SDK
ru.alfadirect.app	10	AppsFlyer,Flurry,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Snowplow,AppMetrica,myTracker,Huawei Mobile Services (HMS) Core
ru.rzd.pass	2	Google CrashLytics,Google Firebase Analytics
com.tviztv.tviz2x45	9	AppsFlyer,Google CrashLytics,Pushwoosh,Google Firebase Analytics,Yandex Ad,AppMetrica,Microsoft Visual Studio App Center Crashes,Microsoft Visual Studio App Center Analytics,Google AdMob
ru.tele2.mytele2	4	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica
ru.dimice.darom	3	Yandex Ad,AppMetrica,VKontakte SDK
ru.beeline.services	9	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,AppMetrica,myTracker,Google AdMob,Facebook Flipper
ru.sovcomcard.halva.v1	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Google AdMob,Huawei Mobile Services (HMS) Core
ru.beru.android	10	Google CrashLytics,Google Analytics,Google Firebase Analytics,Adjust,Facebook Login,Facebook Share,Google Tag Manager,AppMetrica,Huawei Mobile Services (HMS) Core,VKontakte SDK
ru.sberbank.investor	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Dynatrace,AppMetrica,Huawei Mobile Services (HMS) Core
ru.tander.magnit	5	Google CrashLytics,Google Firebase Analytics,Yandex Ad,AppMetrica,Huawei Mobile Services (HMS) Core
com.ivolk.StrelkaGPS	0	
ru.multibonus.program	5	Google CrashLytics,Google Firebase Analytics,Google Tag Manager,AppMetrica,myTracker
com.ipspirates.ort	4	Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core,Facebook Flipper
ru.vtb.smb	2	AppMetrica,Huawei Mobile Services (HMS) Core
ru.stoloto.mobile	9	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Amplitude,AppMetrica,Google AdMob,Huawei Mobile Services (HMS) Core
com.herocraft.game.tempest.lite	21	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Fyber,Inmobi,Unity3d Ads,Yandex Ad,Amplitude,AppMetrica,Vungle,myTracker,Tapjoy,Google AdMob,IAB Open Measurement,Pangle
ru.thousandcardgame.android	5	Google CrashLytics,Google Firebase Analytics,Yandex Ad,AppMetrica,Google AdMob
com.vk.im	10	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,myTracker,myTarget,IAB Open Measurement,VKontakte SDK
ru.letobank.Prometheus	2	Google CrashLytics,Google Firebase Analytics
ru.apteka	4	AppsFlyer,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
com.allgoritm.youla	11	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Unity3d Ads,ironSource,myTracker,myTarget,Google AdMob,IAB Open Measurement,Huawei Mobile Services (HMS) Core,VKontakte SDK
ru.yandex.metro	3	Google CrashLytics,Yandex Ad,AppMetrica
com.dartit.RTcabinet	7	Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Dynatrace,AppMetrica,Huawei Mobile Services (HMS) Core
ru.sberbank_sbbol	4	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica
ru.cardsmobile.mw3	3	AppsFlyer,Google CrashLytics,Google Firebase Analytics
ru.rt.video.app.mobile	6	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,AppMetrica,Google AdMob
com.logistic.sdek.apk	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,UXCam
ru.mail.search.electroscope	8	Google CrashLytics,Google Firebase Analytics,myTracker,myTarget,Microsoft Visual Studio App Center Crashes,IAB Open Measurement,Huawei Mobile Services (HMS) Core,VKontakte SDK
ru.gosuslugi.pos	3	Google CrashLytics,Google Firebase Analytics,AppMetrica
com.alterevit.gorod	7	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,AppMetrica,Huawei Mobile Services (HMS) Core
ru.ntv.client	9	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,Yandex Ad,AppMetrica,Google AdMob,VKontakte SDK
ru.sber.telecom	3	Google CrashLytics,Google Firebase Analytics,AppMetrica
com.mart.weather	5	Google CrashLytics,Google Firebase Analytics,Yandex Ad,AppMetrica,Google AdMob
ru.ria.ria	9	Flurry,Google CrashLytics,Google Firebase Analytics,Yandex Ad,AppMetrica,OneSignal,myTarget,Huawei Mobile Services (HMS) Core,VKontakte SDK
com.herocraft.game.drag.auto.street.racing.heat	18	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Inmobi,Unity3d Ads,Vungle,myTracker,Tapjoy,Mintegral,Google AdMob,IAB Open Measurement,Pangle
ru.mobstudio.andgalaxy	0	
