id	num	is_danger	apps
android.permission.CHANGE_WIFI_STATE	15	False	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.mosreg.ekjp,ru.mos.app,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,ru.shtrafy_gibdd.nalogi,com.sc.mfcnso,ru.orb.mfc.mobile,com.asoft.mfcmobile,info.esoft.ko,com.smarttransport.its.ordervehicle,com.firstforma.dialog,ru.smarttransport.monitoring_ums
android.permission.READ_PHONE_STATE	6	True	ru.rostel,ru.tstst.mysubsidie,ru.mosreg.easuz.portal,ru.tyumen.telemed,com.lsbr.call03,com.firstforma.dialog
android.permission.ACCESS_NETWORK_STATE	44	False	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.gosuslugi.goskey,ru.mosreg.ekjp,ru.mos.app,ru.alrosa.dp,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,ru.altarix.mos.pgu,ru.mos.polls,com.blackspoongames.hunting,com.fssp.app,ru.tstst.mysubsidie,ru.shtrafy_gibdd.nalogi,ru.mos.ed,com.minsvyaz.gosuslugi.stopcorona,ru.gibdd_pay.app,ru.altarix.mos.reception,ru.integrics.mobiled,com.uip.gosuslugi2,com.uip.inspector,com.gibdd.app,com.uip.crowdcontrol,com.sc.mfcnso,ru.mosreg.easuz.portal,com.venul.region72,ru.orb.ag2,ru.orb.mfc.mobile,ru.tyumen.telemed,com.gkh72,com.asoft.mfcmobile,ru.nso.agro,info.esoft.ko,ru.iserv.nk,com.lsbr.call03,ru.rosagroleasing.mobile,com.smarttransport.its.ordervehicle,com.firstforma.dialog,ru.docsystems.peopleinspector,ru.katharsis.office,ru.smarttransport.monitoring_ums,com.simplight.webclient,com.application.ttssm
android.permission.NFC	3	False	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.goskey
android.permission.ACCESS_FINE_LOCATION	29	True	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.gosuslugi.goskey,ru.mosreg.ekjp,ru.mos.app,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,ru.altarix.mos.pgu,ru.mos.polls,ru.altarix.mos.reception,ru.integrics.mobiled,com.uip.gosuslugi2,com.uip.inspector,com.uip.crowdcontrol,com.sc.mfcnso,ru.mosreg.easuz.portal,com.venul.region72,ru.orb.ag2,ru.orb.mfc.mobile,com.asoft.mfcmobile,info.esoft.ko,com.lsbr.call03,com.smarttransport.its.ordervehicle,com.firstforma.dialog,ru.docsystems.peopleinspector,ru.katharsis.office,ru.smarttransport.monitoring_ums,com.example.statsport
android.permission.INTERNET	45	False	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.gosuslugi.goskey,ru.mosreg.ekjp,ru.mos.app,ru.alrosa.dp,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,ru.altarix.mos.pgu,ru.mos.polls,com.blackspoongames.hunting,com.fssp.app,ru.tstst.mysubsidie,ru.shtrafy_gibdd.nalogi,ru.mos.ed,com.minsvyaz.gosuslugi.stopcorona,ru.gibdd_pay.app,ru.altarix.mos.reception,ru.integrics.mobiled,com.uip.gosuslugi2,com.uip.inspector,com.gibdd.app,com.uip.crowdcontrol,com.sc.mfcnso,ru.mosreg.easuz.portal,com.venul.region72,ru.orb.ag2,ru.orb.mfc.mobile,ru.tyumen.telemed,com.gkh72,com.asoft.mfcmobile,ru.nso.agro,info.esoft.ko,ru.iserv.nk,com.lsbr.call03,ru.rosagroleasing.mobile,com.smarttransport.its.ordervehicle,com.firstforma.dialog,ru.docsystems.peopleinspector,ru.katharsis.office,ru.smarttransport.monitoring_ums,com.example.statsport,com.simplight.webclient,com.application.ttssm
ru.rostel.permission.PUSH_PROVIDER	1	False	ru.rostel
android.permission.WRITE_EXTERNAL_STORAGE	38	True	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.gosuslugi.goskey,ru.mosreg.ekjp,ru.mos.app,ru.alrosa.dp,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,ru.altarix.mos.pgu,ru.mos.polls,com.blackspoongames.hunting,ru.tstst.mysubsidie,ru.shtrafy_gibdd.nalogi,ru.mos.ed,ru.altarix.mos.reception,ru.integrics.mobiled,com.uip.gosuslugi2,com.uip.inspector,com.uip.crowdcontrol,com.sc.mfcnso,ru.mosreg.easuz.portal,com.venul.region72,ru.orb.ag2,ru.orb.mfc.mobile,ru.tyumen.telemed,com.gkh72,com.asoft.mfcmobile,info.esoft.ko,ru.iserv.nk,com.lsbr.call03,ru.rosagroleasing.mobile,com.smarttransport.its.ordervehicle,com.firstforma.dialog,ru.docsystems.peopleinspector,ru.katharsis.office,ru.smarttransport.monitoring_ums,com.example.statsport
android.permission.ACCESS_COARSE_LOCATION	20	True	ru.rostel,ru.gosuslugi.pos,ru.gosuslugi.goskey,ru.mosreg.ekjp,ru.mos.app,ru.altarix.mos.pgu,ru.mos.polls,ru.altarix.mos.reception,com.uip.gosuslugi2,com.uip.inspector,com.uip.crowdcontrol,com.sc.mfcnso,ru.orb.ag2,ru.orb.mfc.mobile,com.asoft.mfcmobile,info.esoft.ko,com.lsbr.call03,ru.docsystems.peopleinspector,ru.katharsis.office,com.example.statsport
android.permission.RECEIVE_BOOT_COMPLETED	27	False	ru.rostel,ru.gosuslugi.auto,ru.gosuslugi.pos,ru.gosuslugi.goskey,ru.mosreg.ekjp,ru.mos.app,ru.gosuslugi.culture,ru.mosreg.uslugi.mobile.beta,com.fssp.app,ru.shtrafy_gibdd.nalogi,ru.mos.ed,com.minsvyaz.gosuslugi.stopcorona,ru.gibdd_pay.app,com.gibdd.app,com.sc.mfcnso,ru.orb.ag2,ru.orb.mfc.mobile,com.gkh72,com.asoft.mfcmobile,info.esoft.ko,ru.iserv.nk,com.lsbr.call03,com.smarttransport.its.ordervehicle,com.firstforma.dialog,ru.docsystems.peopleinspector,ru.smarttransport.monitoring_ums,com.application.ttssm
