id	name	num
25	Flurry	7
27	Google CrashLytics	28
49	Google Firebase Analytics	36
124	Yandex Ad	22
140	AppMetrica	25
193	OneSignal	7
198	myTarget	21
333	Huawei Mobile Services (HMS) Core	7
382	VKontakte SDK	19
66	Facebook Analytics	22
67	Facebook Login	22
70	Facebook Share	22
312	Google AdMob	21
175	myTracker	16
12	AppsFlyer	2
125	Amplitude	2
39	Pushwoosh	1
392	Facebook Flipper	1
48	Google Analytics	3
105	Google Tag Manager	3
69	Facebook Places	2
178	Brightcove	1
72	AppLovin (MAX and SparkLabs)	15
108	Snowplow	15
328	IAB Open Measurement	15
31	ATInternet	3
65	Facebook Ads	3
122	Countly	3
