package	num	num_dang	perm_normal	perm_dang
com.openbank	30	9	android.permission.WRITE_SETTINGS,android.permission.NFC,android.permission.VIBRATE,android.permission.USE_FINGERPRINT,android.permission.FOREGROUND_SERVICE,android.permission.QUERY_ALL_PACKAGES,android.permission.BLUETOOTH,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.openbank.permission.PROCESS_PUSH_MSG,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.USE_BIOMETRIC,com.google.android.c2dm.permission.RECEIVE,com.openbank.permission.pushserver.RECEIVE,android.permission.INTERNET,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.WAKE_LOCK,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.ACCESS_WIFI_STATE,com.openbank.permission.PUSH_PROVIDER	android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_CALENDAR,android.permission.READ_CONTACTS,android.permission.READ_PHONE_STATE,android.permission.CAMERA,android.permission.ACCESS_FINE_LOCATION,android.permission.RECORD_AUDIO,android.permission.ACCESS_COARSE_LOCATION
com.idamob.tinkoff.android	36	11	android.permission.USE_FULL_SCREEN_INTENT,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.INTERNET,android.permission.CHANGE_WIFI_STATE,android.permission.SCHEDULE_EXACT_ALARM,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,android.permission.BLUETOOTH,android.permission.NFC,android.permission.FOREGROUND_SERVICE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.USE_FINGERPRINT,com.google.android.c2dm.permission.RECEIVE,android.permission.CHANGE_NETWORK_STATE,android.permission.USE_BIOMETRIC,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,android.permission.VIBRATE,com.idamob.tinkoff.android.permission.PUSH_PROVIDER,com.idamob.tinkoff.android.permission.pushserver.RECEIVE,android.permission.WAKE_LOCK,android.permission.ACCESS_NETWORK_STATE,android.permission.QUERY_ALL_PACKAGES,android.permission.BLUETOOTH_ADMIN,com.idamob.tinkoff.android.permission.PROCESS_PUSH_MSG,android.permission.ACCESS_WIFI_STATE,android.permission.MODIFY_AUDIO_SETTINGS	android.permission.READ_CALENDAR,android.permission.READ_CONTACTS,android.permission.READ_PHONE_NUMBERS,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.RECORD_AUDIO,android.permission.READ_PHONE_STATE,android.permission.CAMERA,android.permission.ACCESS_COARSE_LOCATION,android.permission.WRITE_CALENDAR
ru.alfadirect.app	23	5	android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.gms.permission.AD_ID,android.permission.USE_CREDENTIALS,android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,android.permission.USE_FINGERPRINT,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_TASKS,android.permission.MANAGE_ACCOUNTS,android.permission.USE_BIOMETRIC,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.INTERNET,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.FOREGROUND_SERVICE,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,ru.alfadirect.app.permission.pushserver.RECEIVE	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.READ_PHONE_STATE,android.permission.CAMERA
ru.sovcomcard.halva.v1	40	9	android.permission.MODIFY_AUDIO_SETTINGS,ru.rtlabs.mobile.ebs.permission.VERIFICATION,ru.sovcomcard.halva.v1.permission.pushserver.RECEIVE,android.permission.INTERNET,com.google.android.c2dm.permission.RECEIVE,android.permission.BLUETOOTH,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.ACCESS_WIFI_STATE,android.permission.NFC,com.google.android.gms.permission.AD_ID,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.CHANGE_WIFI_STATE,android.permission.WAKE_LOCK,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,android.permission.ACCESS_NETWORK_STATE,android.permission.VIBRATE,android.permission.QUICKBOOT_POWERON,android.permission.USE_FINGERPRINT,android.permission.REORDER_TASKS,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.FOREGROUND_SERVICE,ru.sovcomcard.halva.v1.permission.PUSH_PROVIDER,android.permission.SYSTEM_ALERT_WINDOW,android.permission.READ_PROFILE,android.permission.BLUETOOTH_ADMIN,android.permission.USE_FULL_SCREEN_INTENT,android.permission.USE_BIOMETRIC,ru.sovcomcard.halva.v1.permission.PROCESS_PUSH_MSG,android.permission.CHANGE_NETWORK_STATE,ru.sovcomcard.halva.v1.permission.C2D_MESSAGE	android.permission.READ_PHONE_STATE,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.GET_ACCOUNTS,android.permission.RECORD_AUDIO,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.WRITE_EXTERNAL_STORAGE
ru.sberbank.investor	22	4	android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_COARSE_UPDATES,android.permission.USE_BIOMETRIC,android.permission.INTERNET,android.permission.BLUETOOTH,android.permission.ACCESS_WIFI_STATE,android.permission.VIBRATE,com.google.android.c2dm.permission.RECEIVE,com.google.android.gms.permission.AD_ID,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.USE_FINGERPRINT,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,ru.sberbank.investor.permission.PROCESS_PUSH_MSG,android.permission.WAKE_LOCK,ru.sberbank.investor.permission.PUSH_PROVIDER,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.FOREGROUND_SERVICE	android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_PHONE_STATE,android.permission.WRITE_EXTERNAL_STORAGE
ru.vtb.smb	30	7	android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.CHANGE_WIFI_STATE,ru.vtb.smb.permission.C2D_MESSAGE,android.permission.INTERNET,com.google.android.gms.permission.AD_ID,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.BLUETOOTH_ADMIN,android.permission.WAKE_LOCK,android.permission.USE_BIOMETRIC,android.permission.FOREGROUND_SERVICE,android.permission.ACCESS_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,ru.vtb.smb.permission.pushserver.RECEIVE,ru.vtb.smb.permission.PROCESS_PUSH_MSG,android.permission.REORDER_TASKS,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.VIBRATE,ru.vtb.smb.permission.PUSH_PROVIDER,android.permission.USE_FINGERPRINT,com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.BLUETOOTH	android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CALL_PHONE,android.permission.ACCESS_COARSE_LOCATION,android.permission.CAMERA,android.permission.READ_CONTACTS
ru.letobank.Prometheus	45	8	com.majeur.launcher.permission.UPDATE_BADGE,android.permission.WAKE_LOCK,com.oppo.launcher.permission.WRITE_SETTINGS,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,android.permission.SYSTEM_ALERT_WINDOW,android.permission.VIBRATE,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.READ_APP_BADGE,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.CHANGE_NETWORK_STATE,com.huawei.permission.external_app_settings.USE_COMPONENT,com.htc.launcher.permission.UPDATE_SHORTCUT,android.permission.CHANGE_WIFI_STATE,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.USE_BIOMETRIC,com.htc.launcher.permission.READ_SETTINGS,android.permission.GET_PACKAGE_SIZE,me.everything.badger.permission.BADGE_COUNT_WRITE,android.permission.NFC,android.permission.QUERY_ALL_PACKAGES,oppo.permission.OPPO_COMPONENT_SAFE,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.USE_FINGERPRINT,android.permission.ACCESS_NETWORK_STATE,com.oppo.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.ACCESS_WIFI_STATE,com.sec.android.provider.badge.permission.WRITE,com.google.android.c2dm.permission.RECEIVE,android.permission.FOREGROUND_SERVICE,com.sec.android.provider.badge.permission.READ,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.INTERNET,android.permission.RECEIVE_BOOT_COMPLETED	android.permission.ACCESS_FINE_LOCATION,android.permission.CALL_PHONE,android.permission.READ_PHONE_STATE,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.ACCESS_COARSE_LOCATION,android.permission.RECORD_AUDIO
ru.sberbank_sbbol	31	7	android.permission.BLUETOOTH_ADMIN,android.permission.USE_BIOMETRIC,android.permission.ACCESS_NETWORK_STATE,android.permission.CHANGE_NETWORK_STATE,android.permission.BLUETOOTH_CONNECT,android.permission.NFC,android.permission.VIBRATE,android.permission.MODIFY_AUDIO_SETTINGS,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.FOREGROUND_SERVICE,android.permission.QUERY_ALL_PACKAGES,android.permission.INTERNET,android.permission.MANAGE_EXTERNAL_STORAGE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.WAKE_LOCK,android.permission.USB_PERMISSION,android.permission.ACCESS_WIFI_STATE,android.permission.CHANGE_WIFI_STATE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.STORAGE,android.permission.USE_FINGERPRINT,android.permission.REQUEST_DELETE_PACKAGES,android.permission.BLUETOOTH	android.permission.CAMERA,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_CONTACTS,android.permission.RECORD_AUDIO,android.permission.WRITE_EXTERNAL_STORAGE
ru.cardsmobile.mw3	23	6	android.permission.INTERNET,android.permission.NFC,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.USE_BIOMETRIC,com.samsung.android.providers.hostActivity.permission.WRITE_USE_APP_FEATURE_SURVEY,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,android.permission.ACCESS_NETWORK_STATE,android.permission.WRITE_SETTINGS,android.permission.FOREGROUND_SERVICE,com.google.android.c2dm.permission.RECEIVE,android.permission.VIBRATE,android.permission.DISABLE_KEYGUARD,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.USE_FACERECOGNITION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.WAKE_LOCK,android.permission.USE_FINGERPRINT	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_COARSE_LOCATION,android.permission.CAMERA,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE
ru.gazprombank.android.mobilebank.app	39	9	android.permission.HIGH_SAMPLING_RATE_SENSORS,com.google.android.gms.permission.ACTIVITY_RECOGNITION,android.permission.USE_FINGERPRINT,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.WAKE_LOCK,android.permission.BLUETOOTH,com.google.android.c2dm.permission.RECEIVE,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,com.huawei.permission.sec.MDM.v2,com.huawei.permission.external_app_settings.USE_COMPONENT,android.permission.FOREGROUND_SERVICE,android.permission.SCHEDULE_EXACT_ALARM,android.permission.QUERY_ALL_PACKAGES,android.permission.ACCESS_MEDIA_LOCATION,android.permission.CHANGE_WIFI_STATE,ru.gazprombank.android.mobilebank.app.permission.PROCESS_PUSH_MSG,com.google.android.providers.gsf.permission.READ_GSERVICES,com.hihonor.permission.sec.MDM.v2,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_WIFI_STATE,oppo.permission.OPPO_COMPONENT_SAFE,android.permission.INTERNET,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,android.permission.BLUETOOTH_ADMIN,android.permission.VIBRATE,ru.gazprombank.android.mobilebank.app.permission.PUSH_PROVIDER	android.permission.CAMERA,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_CONTACTS,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_PHONE_STATE,android.permission.ACCESS_FINE_LOCATION,android.permission.CALL_PHONE,android.permission.RECORD_AUDIO
