package	num	num_dang	perm_normal	perm_dang
com.ivolk.estrelka	19	2	android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_NETWORK_STATE,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.QUICKBOOT_POWERON,android.permission.BROADCAST_STICKY,android.permission.BLUETOOTH_ADMIN,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,android.permission.ACCESS_BACKGROUND_LOCATION,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.BLUETOOTH,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,android.permission.BLUETOOTH_CONNECT,com.android.vending.BILLING,android.permission.SYSTEM_ALERT_WINDOW,android.permission.REQUEST_INSTALL_PACKAGES	android.permission.READ_PHONE_STATE,android.permission.ACCESS_FINE_LOCATION
ru.farpost.dromfilter	27	7	ru.farpost.dromfilter.permission.PROCESS_PUSH_MSG,android.permission.FOREGROUND_SERVICE,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.CHANGE_WIFI_STATE,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.VIBRATE,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,ru.farpost.dromfilter.permission.PUSH_PROVIDER,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.INTERNET,com.google.android.c2dm.permission.RECEIVE,com.google.android.gms.permission.AD_ID,android.permission.USE_FULL_SCREEN_INTENT,android.permission.WAKE_LOCK,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.CHANGE_NETWORK_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.RECORD_AUDIO,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.CAMERA,android.permission.READ_PHONE_STATE,android.permission.ACCESS_COARSE_LOCATION
ru.yandex.taxi	53	10	me.everything.badger.permission.BADGE_COUNT_WRITE,com.android.vending.BILLING,android.permission.MANAGE_ACCOUNTS,com.google.android.gms.permission.AD_ID,android.permission.NFC,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.AUTHENTICATE_ACCOUNTS,com.yandex.permission.AM_COMMUNICATION,com.yandex.yphone.permission.WRITE,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,android.permission.USE_FINGERPRINT,com.oppo.launcher.permission.READ_SETTINGS,android.permission.INTERNET,android.permission.VIBRATE,android.permission.CHANGE_WIFI_STATE,android.permission.USE_CREDENTIALS,com.sec.android.provider.badge.permission.READ,com.huawei.android.launcher.permission.CHANGE_BADGE,com.huawei.android.launcher.permission.READ_SETTINGS,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.c2dm.permission.RECEIVE,com.htc.launcher.permission.UPDATE_SHORTCUT,com.huawei.android.launcher.permission.WRITE_SETTINGS,ru.yandex.taxi.ORDER_NOTIFICATION,com.sec.android.provider.badge.permission.WRITE,com.majeur.launcher.permission.UPDATE_BADGE,me.everything.badger.permission.BADGE_COUNT_READ,com.anddoes.launcher.permission.UPDATE_COUNT,com.yandex.permission.READ_CREDENTIALS,android.permission.READ_APP_BADGE,android.permission.ACCESS_NETWORK_STATE,com.htc.launcher.permission.READ_SETTINGS,android.permission.BLUETOOTH,ru.yandex.taxi.permission.PUSH_PROVIDER,android.permission.REQUEST_INSTALL_PACKAGES,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.ACCESS_WIFI_STATE,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,ru.yandex.taxi.permission.PROCESS_PUSH_MSG,android.permission.USE_BIOMETRIC,com.yandex.yphone.permission.READ	android.permission.RECORD_AUDIO,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_PHONE_STATE,android.permission.GET_ACCOUNTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.ACCESS_COARSE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_CONTACTS
com.mybedy.antiradar.rustore	18	2	android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_BACKGROUND_LOCATION,android.permission.SYSTEM_ALERT_WINDOW,android.permission.FOREGROUND_SERVICE,android.permission.WAKE_LOCK,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.c2dm.permission.RECEIVE,android.permission.VIBRATE,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,android.permission.ACCESS_WIFI_STATE,android.permission.INTERNET,android.permission.BLUETOOTH,android.permission.CHANGE_WIFI_STATE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.BLUETOOTH_ADMIN,com.android.vending.BILLING	android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION
kb2.soft.fuelcalculator	0	0		
ru.bloodsoft.gibddchecker	11	1	com.android.vending.BILLING,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.FOREGROUND_SERVICE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.INTERNET,com.google.android.gms.permission.AD_ID	android.permission.CAMERA
org.reactivephone	17	3	android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,org.reactivephone.permission.C2D_MESSAGE,android.permission.ACCESS_WIFI_STATE,android.permission.INTERNET,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.USE_FINGERPRINT,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,com.google.android.gms.permission.AD_ID,com.google.android.c2dm.permission.RECEIVE	android.permission.CAMERA,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS
ru.reactivephone.Visitors	2	0	android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET	
org.ray.auto	13	2	android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_NETWORK_STATE,android.permission.VIBRATE,com.android.vending.BILLING,android.permission.INTERNET,com.google.android.gms.permission.AD_ID,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.c2dm.permission.RECEIVE	android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE
ru.belkacar.belkacar	21	6	com.google.android.c2dm.permission.RECEIVE,android.permission.GET_TASKS,android.permission.VIBRATE,com.google.android.gms.permission.AD_ID,android.permission.CHANGE_NETWORK_STATE,android.permission.BLUETOOTH_ADMIN,android.permission.FOREGROUND_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.WAKE_LOCK,android.permission.BLUETOOTH,android.permission.HIGH_SAMPLING_RATE_SENSORS	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.CAMERA,android.permission.READ_PHONE_STATE,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_COARSE_LOCATION
