package	title	creator	description	version	trackers_num	trackers	perm_num_total	perm_num_dang	perm_normal	perm_dang
com.herocraft.game.tempest.lite	Tempest: Море пиратов	HeroCraft	Стань лихим пиратом и борозди моря!	1.7.2	21	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Fyber,Inmobi,Unity3d Ads,Yandex Ad,Amplitude,AppMetrica,Vungle,myTracker,Tapjoy,Google AdMob,IAB Open Measurement,Pangle	16	3	android.permission.INTERNET,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.POST_NOTIFICATIONS,com.android.vending.CHECK_LICENSE,com.android.vending.BILLING,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,com.herocraft.game.tempest.lite.permission.C2D_MESSAGE,android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE	android.permission.READ_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.WRITE_EXTERNAL_STORAGE
com.herocraft.game.drag.auto.street.racing.heat	SRGT Racing: Уличные гонки	HeroCraft	Прокачай тачку и побеждай в заездах!	0.9.109	18	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Inmobi,Unity3d Ads,Vungle,myTracker,Tapjoy,Mintegral,Google AdMob,IAB Open Measurement,Pangle	15	3	com.android.vending.BILLING,android.permission.VIBRATE,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,android.permission.INTERNET,android.permission.CHANGE_WIFI_MULTICAST_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_WIFI_STATE	android.permission.READ_PHONE_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE
com.herocraft.game.cut.arcade.catchthecandy	Лови Конфету! Физический пазл	HeroCraft	Преодолей преграды и поймай конфету!	1.0.80	28	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Smaato,AdColony,Amazon Advertisement,Fyber,Inmobi,Unity3d Ads,Yandex Ad,AppMetrica,AppMonet,Vungle,myTracker,PubNative,myTarget,Tapjoy,Mintegral,Tenjin,Google AdMob,Verizon Ads,IAB Open Measurement,Mail.ru,Pangle	11	1	android.permission.RECEIVE_BOOT_COMPLETED,android.permission.FOREGROUND_SERVICE,com.android.vending.BILLING,android.permission.VIBRATE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE	android.permission.ACCESS_COARSE_LOCATION
com.hunterhamster.snailbob	Улитка Боб: Пазл приключение	HeroCraft	Маленькой улитке нужна ваша помощь!	1.0.23	24	Google Analytics,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Fyber,Google Tag Manager,Inmobi,Unity3d Ads,Yandex Ad,Amplitude,AppMetrica,Vungle,Tapjoy,Mintegral,GameAnalytics,Tenjin,Google AdMob,IAB Open Measurement,Pangle	9	0	android.permission.FOREGROUND_SERVICE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,com.android.vending.BILLING,android.permission.INTERNET,android.permission.WAKE_LOCK,android.permission.RECEIVE_BOOT_COMPLETED	
com.okg.theheavens	Небеса: Игры «три в ряд» с РПГ	"ООО ""ЭДРЕМ"""	Уникальная игра головоломка	4.7.0-nebogame	19	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Amazon Advertisement,Fyber,Unity3d Ads,Amplitude,ironSource,Vungle,myTracker,myTarget,Google AdMob,IAB Open Measurement,Mail.ru,Pangle	11	0	android.permission.ACCESS_WIFI_STATE,com.samsung.android.iap.permission.BILLING,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,com.android.vending.BILLING,com.google.android.gms.permission.AD_ID,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE	
com.herocraft.game.free.redball3	Red Ball 3: Красный шарик	HeroCraft	Красный шар продолжает свои приключения!	1.0.79	21	Flurry,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Inmobi,Unity3d Ads,Yandex Ad,Amplitude,AppMetrica,Vungle,Tapjoy,Mintegral,Tenjin,Google AdMob,IAB Open Measurement,VKontakte SDK	15	1	android.permission.SET_ORIENTATION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.WRITE_MEDIA_STORAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.VIBRATE,android.permission.WAKE_LOCK,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.FOREGROUND_SERVICE,com.android.vending.BILLING,android.permission.CHANGE_WIFI_STATE,android.permission.INTERNET	android.permission.WRITE_EXTERNAL_STORAGE
com.espritgames.rpg.nine.songs	Fox Legends	ООО Эсприт Геймс	Новая игра для любителей ПВП ММО РПГ!	3.0.1	9	AppsFlyer,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,Amplitude,Bugly,Huawei Mobile Services (HMS) Core,VKontakte SDK	23	4	android.permission.BROADCAST_STICKY,android.permission.RESTART_PACKAGES,android.permission.BLUETOOTH,com.android.vending.BILLING,android.permission.REORDER_TASKS,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,android.permission.CHANGE_NETWORK_STATE,android.permission.VIBRATE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.MODIFY_AUDIO_SETTINGS,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.google.android.c2dm.permission.RECEIVE,android.permission.CHANGE_WIFI_STATE,android.permission.REQUEST_INSTALL_PACKAGES	android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECORD_AUDIO,android.permission.CAMERA
su.sovietgames.everlasting_summer	Бесконечное Лето	Soviet Games	Легендарная игра — теперь и в RuStore!	1.6	0		6	1	android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,com.android.vending.BILLING,android.permission.VIBRATE,android.permission.INTERNET	android.permission.WRITE_EXTERNAL_STORAGE
com.gamemisctop.busSimulator3D	Симулятор Автобуса 3D	MobGames3D	Лучший симулятор водителя автобуса!	2.1.1	2	Unity3d Ads,Google AdMob	4	0	android.permission.INTERNET,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.VIBRATE	
com.nekki.shadowfightarena_xsolla	Shadow Fight Arena	Мобильные игры ООО	Лучшие онлайн ПвП игры про ниндзя!	1.4.21	23	AppsFlyer,Google CrashLytics,Google Firebase Analytics,ChartBoost,HelpShift,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Fyber,Unity3d Ads,ironSource,Vungle,myTracker,myTarget,Tapjoy,Bugsnag,Google AdMob,IAB Open Measurement,Pangle	32	2	com.majeur.launcher.permission.UPDATE_BADGE,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.FOREGROUND_SERVICE,android.permission.ACCESS_NETWORK_STATE,me.everything.badger.permission.BADGE_COUNT_WRITE,android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE,com.oppo.launcher.permission.READ_SETTINGS,com.google.android.c2dm.permission.RECEIVE,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.htc.launcher.permission.READ_SETTINGS,com.anddoes.launcher.permission.UPDATE_COUNT,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.VIBRATE,com.sec.android.provider.badge.permission.WRITE,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.android.vending.CHECK_LICENSE,com.sec.android.provider.badge.permission.READ,android.permission.INTERNET,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.CHANGE_WIFI_MULTICAST_STATE,com.sonyericsson.home.permission.BROADCAST_BADGE,com.htc.launcher.permission.UPDATE_SHORTCUT,com.nekki.shadowfightarena_xsolla.permission.C2D_MESSAGE,com.google.android.gms.permission.AD_ID,android.permission.READ_APP_BADGE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE	android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE
