package	num	num_dang	perm_normal	perm_dang
com.herocraft.game.tempest.lite	16	3	android.permission.INTERNET,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.POST_NOTIFICATIONS,com.android.vending.CHECK_LICENSE,com.android.vending.BILLING,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,com.herocraft.game.tempest.lite.permission.C2D_MESSAGE,android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE	android.permission.READ_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.WRITE_EXTERNAL_STORAGE
com.herocraft.game.drag.auto.street.racing.heat	15	3	com.android.vending.BILLING,android.permission.VIBRATE,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,android.permission.INTERNET,android.permission.CHANGE_WIFI_MULTICAST_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_WIFI_STATE	android.permission.READ_PHONE_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE
com.herocraft.game.cut.arcade.catchthecandy	11	1	android.permission.RECEIVE_BOOT_COMPLETED,android.permission.FOREGROUND_SERVICE,com.android.vending.BILLING,android.permission.VIBRATE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE	android.permission.ACCESS_COARSE_LOCATION
com.hunterhamster.snailbob	9	0	android.permission.FOREGROUND_SERVICE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,com.android.vending.BILLING,android.permission.INTERNET,android.permission.WAKE_LOCK,android.permission.RECEIVE_BOOT_COMPLETED	
com.okg.theheavens	11	0	android.permission.ACCESS_WIFI_STATE,com.samsung.android.iap.permission.BILLING,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,com.android.vending.BILLING,com.google.android.gms.permission.AD_ID,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE	
com.herocraft.game.free.redball3	15	1	android.permission.SET_ORIENTATION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.WRITE_MEDIA_STORAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.VIBRATE,android.permission.WAKE_LOCK,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.FOREGROUND_SERVICE,com.android.vending.BILLING,android.permission.CHANGE_WIFI_STATE,android.permission.INTERNET	android.permission.WRITE_EXTERNAL_STORAGE
com.espritgames.rpg.nine.songs	23	4	android.permission.BROADCAST_STICKY,android.permission.RESTART_PACKAGES,android.permission.BLUETOOTH,com.android.vending.BILLING,android.permission.REORDER_TASKS,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,android.permission.CHANGE_NETWORK_STATE,android.permission.VIBRATE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.MODIFY_AUDIO_SETTINGS,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.google.android.c2dm.permission.RECEIVE,android.permission.CHANGE_WIFI_STATE,android.permission.REQUEST_INSTALL_PACKAGES	android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECORD_AUDIO,android.permission.CAMERA
su.sovietgames.everlasting_summer	6	1	android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,com.android.vending.BILLING,android.permission.VIBRATE,android.permission.INTERNET	android.permission.WRITE_EXTERNAL_STORAGE
com.gamemisctop.busSimulator3D	4	0	android.permission.INTERNET,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.VIBRATE	
com.nekki.shadowfightarena_xsolla	32	2	com.majeur.launcher.permission.UPDATE_BADGE,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.FOREGROUND_SERVICE,android.permission.ACCESS_NETWORK_STATE,me.everything.badger.permission.BADGE_COUNT_WRITE,android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE,com.oppo.launcher.permission.READ_SETTINGS,com.google.android.c2dm.permission.RECEIVE,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.htc.launcher.permission.READ_SETTINGS,com.anddoes.launcher.permission.UPDATE_COUNT,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.VIBRATE,com.sec.android.provider.badge.permission.WRITE,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.android.vending.CHECK_LICENSE,com.sec.android.provider.badge.permission.READ,android.permission.INTERNET,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.CHANGE_WIFI_MULTICAST_STATE,com.sonyericsson.home.permission.BROADCAST_BADGE,com.htc.launcher.permission.UPDATE_SHORTCUT,com.nekki.shadowfightarena_xsolla.permission.C2D_MESSAGE,com.google.android.gms.permission.AD_ID,android.permission.READ_APP_BADGE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE	android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE
